customer_id,service_type,Hora_Llegada,Hora_Atencion,Hora_Salida,Tiempo_Servicio,Tiempo_Entre_Llegadas
51,Cajas generales,10:43:34,10:43:34,10:45:44,0:02:10,0:01:05
52,Cajas generales,10:45:52,10:45:52,10:54:48,0:08:56,0:02:18
53,Cajas generales,10:46:40,10:46:40,11:00:27,0:13:47,0:00:48
54,Atención al cliente,10:47:57,10:47:57,10:53:55,0:05:58,0:01:17
55,Atención al cliente,10:48:16,10:48:16,10:59:19,0:11:03,0:00:19
56,Caja preferencial,10:51:21,10:51:21,10:59:00,0:07:39,0:03:04
57,Cajas generales,10:51:30,10:51:30,10:54:27,0:02:57,0:00:10
58,Caja preferencial,10:53:14,10:53:14,11:07:18,0:14:04,0:01:43
59,Cajas generales,10:54:49,10:54:49,10:59:13,0:04:24,0:01:35
60,Cajas generales,10:55:53,10:55:53,11:08:38,0:12:45,0:01:05
61,Cajas generales,11:01:57,11:01:57,11:06:48,0:04:51,0:06:03
62,Cajero automático,11:04:51,11:04:51,11:08:26,0:03:35,0:02:54
63,Cajas generales,11:07:10,11:07:10,11:13:05,0:05:55,0:02:19
64,Cajas generales,11:11:22,11:11:22,11:16:33,0:05:11,0:04:12
65,Cajas generales,11:12:43,11:12:43,11:20:21,0:07:38,0:01:21
66,Atención al cliente,11:12:51,11:12:51,11:24:01,0:11:10,0:00:09
67,Caja preferencial,11:19:13,11:19:13,11:23:37,0:04:24,0:06:22
68,Cajero automático,11:24:29,11:24:29,11:36:10,0:11:41,0:05:16
69,Cajero automático,11:31:09,11:31:09,11:46:08,0:14:59,0:06:40
70,Cajas generales,11:31:26,11:31:26,11:39:49,0:08:23,0:00:17
71,Cajero automático,11:35:09,11:35:09,11:48:56,0:13:47,0:03:43
72,Cajas generales,11:35:50,11:35:50,11:42:33,0:06:43,0:00:41
73,Cajas generales,11:38:40,11:38:40,11:46:09,0:07:29,0:02:50
74,Cajas generales,11:38:56,11:38:56,11:42:30,0:03:34,0:00:17
75,Cajero automático,11:39:13,11:39:13,11:42:10,0:02:57,0:00:16
76,Atención al cliente,11:42:58,11:42:58,11:46:51,0:03:53,0:03:45
77,Caja preferencial,11:43:49,11:43:49,11:46:22,0:02:33,0:00:51
78,Atención al cliente,11:44:07,11:44:07,11:47:42,0:03:35,0:00:18
79,Cajas generales,11:46:23,11:46:23,11:59:10,0:12:47,0:02:17
80,Cajero automático,11:48:47,11:48:47,11:54:05,0:05:18,0:02:24
81,Cajero automático,11:50:40,11:50:40,12:04:27,0:13:47,0:01:53
82,Cajas generales,11:59:16,11:59:16,12:05:55,0:06:39,0:08:35
83,Cajas generales,11:59:59,11:59:59,12:10:52,0:10:53,0:00:43
84,Cajas generales,12:11:14,12:11:14,12:20:24,0:09:10,0:11:15
85,Cajero automático,12:11:50,12:11:50,12:21:52,0:10:02,0:00:36
86,Cajas generales,12:11:57,12:11:57,12:15:17,0:03:20,0:00:07
87,Caja preferencial,12:14:31,12:14:31,12:27:25,0:12:54,0:02:33
88,Cajas generales,12:24:42,12:24:42,12:31:42,0:07:00,0:10:11
89,Cajas generales,12:26:16,12:26:16,12:39:12,0:12:56,0:01:35
90,Cajero automático,12:27:12,12:27:12,12:38:34,0:11:22,0:00:56
91,Cajas generales,12:30:49,12:30:49,12:36:11,0:05:22,0:03:37
92,Cajero automático,12:31:52,12:31:52,12:43:25,0:11:33,0:01:03
93,Cajero automático,12:35:33,12:35:33,12:39:58,0:04:25,0:03:41
94,Cajas generales,12:38:02,12:38:02,12:51:40,0:13:38,0:02:29
95,Cajas generales,12:39:15,12:39:15,12:45:23,0:06:08,0:01:14
96,Cajas generales,12:42:49,12:42:49,12:45:21,0:02:32,0:03:33
97,Cajas generales,12:53:35,12:53:35,12:59:54,0:06:19,0:10:46
98,Cajero automático,13:03:31,13:03:31,13:09:42,0:06:11,0:09:56
99,Cajas generales,13:03:31,13:03:31,13:12:12,0:08:41,0:00:00
100,Cajas generales,13:04:10,13:04:10,13:11:37,0:07:27,0:00:39
101,Cajas generales,13:07:40,13:07:40,13:20:06,0:12:26,0:03:30
102,Cajas generales,13:16:29,13:16:29,13:26:39,0:10:10,0:08:48
103,Cajas generales,13:19:24,13:19:24,13:26:20,0:06:56,0:02:55
104,Cajas generales,13:24:02,13:24:02,13:31:06,0:07:04,0:04:38
105,Atención al cliente,13:24:25,13:24:25,13:27:38,0:03:13,0:00:24
106,Cajas generales,13:25:40,13:25:40,13:31:33,0:05:53,0:01:14
107,Cajas generales,13:32:51,13:32:51,13:39:02,0:06:11,0:07:12
108,Cajas generales,13:32:54,13:32:54,13:40:35,0:07:41,0:00:02
109,Cajas generales,13:33:06,13:33:06,13:35:17,0:02:11,0:00:12
110,Cajas generales,13:33:15,13:33:15,13:36:46,0:03:31,0:00:09
111,Cajas generales,13:34:11,13:34:11,13:47:50,0:13:39,0:00:56
112,Cajas generales,13:35:35,13:35:35,13:40:22,0:04:47,0:01:24
113,Cajas generales,13:41:06,13:41:06,13:47:08,0:06:02,0:05:31
114,Cajero automático,13:43:34,13:43:34,13:52:57,0:09:23,0:02:28
115,Cajero automático,13:44:07,13:44:07,13:57:33,0:13:26,0:00:33
116,Caja preferencial,13:47:42,13:47:42,13:57:33,0:09:51,0:03:35
117,Atención al cliente,13:53:56,13:53:56,14:03:48,0:09:52,0:06:14
118,Cajas generales,13:54:44,13:54:44,13:59:09,0:04:25,0:00:49
119,Atención al cliente,13:59:21,13:59:21,14:04:09,0:04:48,0:04:37
120,Atención al cliente,14:01:16,14:01:16,14:15:34,0:14:18,0:01:55
121,Cajero automático,14:02:43,14:02:43,14:17:18,0:14:35,0:01:27
122,Cajas generales,14:04:13,14:04:13,14:08:44,0:04:31,0:01:30
123,Cajas generales,14:04:28,14:04:28,14:08:39,0:04:11,0:00:15
124,Atención al cliente,14:07:56,14:07:56,14:17:51,0:09:55,0:03:28
125,Cajas generales,14:09:46,14:09:46,14:19:28,0:09:42,0:01:50
126,Atención al cliente,14:17:54,14:17:54,14:21:48,0:03:54,0:08:07
127,Cajas generales,14:17:58,14:17:58,14:23:17,0:05:19,0:00:05
128,Atención al cliente,14:22:04,14:22:04,14:34:15,0:12:11,0:04:05
129,Cajas generales,14:23:24,14:23:24,14:28:57,0:05:33,0:01:20
130,Cajero automático,14:26:13,14:26:13,14:33:52,0:07:39,0:02:49
131,Cajas generales,14:31:35,14:31:35,14:34:45,0:03:10,0:05:22
132,Cajero automático,14:37:15,14:37:15,14:42:17,0:05:02,0:05:39
133,Atención al cliente,14:41:11,14:41:11,14:43:56,0:02:45,0:03:56
134,Cajas generales,14:43:22,14:43:22,14:57:24,0:14:02,0:02:11
135,Cajas generales,14:43:34,14:43:34,14:56:39,0:13:05,0:00:12
136,Atención al cliente,14:44:25,14:44:25,14:55:56,0:11:31,0:00:51
137,Cajas generales,14:53:45,14:53:45,14:59:31,0:05:46,0:09:20
138,Cajas generales,14:53:52,14:53:52,14:59:49,0:05:57,0:00:07
139,Cajas generales,14:54:06,14:54:06,14:59:54,0:05:48,0:00:14
140,Cajas generales,14:54:38,14:54:38,15:05:05,0:10:27,0:00:32
141,Cajas generales,14:57:28,14:57:28,15:11:34,0:14:06,0:02:50
142,Cajero automático,14:57:51,14:57:51,15:02:16,0:04:25,0:00:22
143,Cajas generales,14:57:58,14:57:58,15:02:39,0:04:41,0:00:07
144,Cajas generales,15:03:05,15:03:05,15:06:49,0:03:44,0:05:07
145,Cajas generales,15:03:19,15:03:19,15:15:36,0:12:17,0:00:14
146,Cajas generales,15:05:27,15:05:27,15:17:05,0:11:38,0:02:08
147,Cajas generales,15:06:52,15:06:52,15:11:11,0:04:19,0:01:26
148,Caja preferencial,15:07:23,15:07:23,15:19:15,0:11:52,0:00:30
149,Caja preferencial,15:09:34,15:09:34,15:14:23,0:04:49,0:02:11
150,Cajas generales,15:17:20,15:17:20,15:21:35,0:04:15,0:07:47
151,Cajas generales,15:20:05,15:20:05,15:34:36,0:14:31,0:02:45
152,Cajas generales,15:21:02,15:21:02,15:23:17,0:02:15,0:00:56
153,Cajero automático,15:21:03,15:21:03,15:25:06,0:04:03,0:00:02
154,Cajas generales,15:21:53,15:21:53,15:35:34,0:13:41,0:00:50
155,Cajas generales,15:24:12,15:24:12,15:37:38,0:13:26,0:02:19
156,Cajas generales,15:24:42,15:24:42,15:29:05,0:04:23,0:00:29
157,Caja preferencial,15:25:54,15:25:54,15:28:20,0:02:26,0:01:13
158,Caja preferencial,15:26:32,15:26:32,15:40:41,0:14:09,0:00:38
159,Cajas generales,15:28:16,15:28:16,15:31:02,0:02:46,0:01:44
160,Caja preferencial,15:29:43,15:29:43,15:36:35,0:06:52,0:01:27
161,Cajas generales,15:35:45,15:35:45,15:45:14,0:09:29,0:06:02
162,Cajas generales,15:38:09,15:38:09,15:41:01,0:02:52,0:02:24
163,Cajas generales,15:38:23,15:38:23,15:53:22,0:14:59,0:00:13
164,Atención al cliente,15:39:57,15:39:57,15:50:10,0:10:13,0:01:35
165,Cajero automático,15:45:59,15:45:59,15:48:56,0:02:57,0:06:02
166,Cajas generales,15:48:50,15:48:50,16:02:11,0:13:21,0:02:50
167,Cajero automático,15:59:03,15:59:03,16:01:09,0:02:06,0:10:13
168,Cajas generales,16:00:20,16:00:20,16:11:39,0:11:19,0:01:17
169,Cajas generales,16:04:54,16:04:54,16:16:49,0:11:55,0:04:34
170,Cajas generales,16:06:23,16:06:23,16:19:13,0:12:50,0:01:29
171,Cajas generales,16:08:38,16:08:38,16:17:51,0:09:13,0:02:15
172,Atención al cliente,16:09:38,16:09:38,16:16:05,0:06:27,0:01:01
173,Cajas generales,16:12:38,16:12:38,16:27:26,0:14:48,0:02:59
174,Cajas generales,16:14:53,16:14:53,16:20:00,0:05:07,0:02:15
175,Cajas generales,16:16:07,16:16:07,16:26:48,0:10:41,0:01:14
176,Cajas generales,16:17:27,16:17:27,16:28:25,0:10:58,0:01:20
177,Cajas generales,16:19:47,16:19:47,16:25:26,0:05:39,0:02:20
178,Cajas generales,16:20:42,16:20:42,16:29:33,0:08:51,0:00:55
179,Caja preferencial,16:28:28,16:28:28,16:42:51,0:14:23,0:07:46
180,Cajas generales,16:30:15,16:30:15,16:42:20,0:12:05,0:01:46
181,Cajero automático,16:30:47,16:30:47,16:38:56,0:08:09,0:00:33
182,Cajero automático,16:35:42,16:35:42,16:48:41,0:12:59,0:04:55
183,Cajas generales,16:38:44,16:38:44,16:53:31,0:14:47,0:03:02
184,Cajas generales,16:42:52,16:42:52,16:50:05,0:07:13,0:04:08
185,Cajas generales,16:46:32,16:46:32,16:55:38,0:09:06,0:03:40
186,Cajas generales,16:48:40,16:48:40,16:59:51,0:11:11,0:02:08
187,Cajas generales,16:49:13,16:49:13,16:57:00,0:07:47,0:00:33
188,Cajas generales,16:52:58,16:52:58,17:02:43,0:09:45,0:03:45
189,Cajero automático,16:56:04,16:56:04,16:58:37,0:02:33,0:03:06
190,Cajas generales,16:59:34,16:59:34,17:09:40,0:10:06,0:03:30
191,Cajas generales,17:01:41,17:01:41,17:04:18,0:02:37,0:02:07
192,Cajas generales,17:04:49,17:04:49,17:07:55,0:03:06,0:03:08
193,Caja preferencial,17:07:28,17:07:28,17:22:10,0:14:42,0:02:39
194,Atención al cliente,17:08:51,17:08:51,17:20:43,0:11:52,0:01:24
195,Cajas generales,17:09:20,17:09:20,17:13:24,0:04:04,0:00:29
196,Cajas generales,17:09:31,17:09:31,17:17:56,0:08:25,0:00:11
197,Cajas generales,17:09:43,17:09:43,17:12:36,0:02:53,0:00:12
198,Cajas generales,17:11:11,17:11:11,17:20:56,0:09:45,0:01:28
199,Cajas generales,17:12:30,17:12:30,17:24:49,0:12:19,0:01:18
200,Cajero automático,17:13:47,17:13:47,17:18:28,0:04:41,0:01:18
